Kabupaten/Kota,Latitude,Longitude
Kabupaten Badung,8.5819,115.1771
Kabupaten Bangli,8.2976,115.3549
Kabupaten Buleleng,8.2239,114.9517
Kabupaten Gianyar,8.4248,115.2601
Kabupaten Jembrana,8.3233,114.6668
Kabupaten Karangasem,8.3466,115.5207
Kabupaten Klungkung,8.7278,115.5444
Kabupaten Tabanan,8.4596,115.0466
Kota Denpasar,8.6705,115.2126
